Month,L,M,S,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3
108,-1.465,16.0964,0.11816,12.099,13.14,14.434,16.096,18.326,21.513,26.539
109,-1.4688,16.1358,0.11859,12.12,13.165,14.465,16.136,18.381,21.599,26.692
110,-1.4723,16.1759,0.11901,12.141,13.19,14.496,16.176,18.437,21.684,26.845
111,-1.4753,16.2166,0.11943,12.163,13.216,14.527,16.217,18.493,21.77,26.998
112,-1.478,16.258,0.11985,12.185,13.242,14.559,16.258,18.551,21.857,27.152
113,-1.4803,16.2999,0.12026,12.208,13.269,14.592,16.3,18.608,21.944,27.305
114,-1.4823,16.3425,0.12067,12.231,13.296,14.625,16.343,18.666,22.031,27.459
115,-1.4838,16.3858,0.12108,12.254,13.323,14.659,16.386,18.725,22.12,27.612
116,-1.485,16.4298,0.12148,12.278,13.352,14.694,16.43,18.785,22.208,27.765
117,-1.4859,16.4746,0.12188,12.302,13.38,14.729,16.475,18.846,22.298,27.918
118,-1.4864,16.52,0.12228,12.327,13.41,14.764,16.52,18.907,22.388,28.071
119,-1.4866,16.5663,0.12268,12.352,13.439,14.801,16.566,18.969,22.479,28.226
120,-1.4864,16.6133,0.12307,12.378,13.47,14.838,16.613,19.032,22.57,28.378
121,-1.4859,16.6612,0.12346,12.404,13.501,14.876,16.661,19.096,22.663,28.531
122,-1.4851,16.71,0.12384,12.43,13.533,14.914,16.71,19.161,22.755,28.683
123,-1.4839,16.7595,0.12422,12.458,13.565,14.954,16.76,19.226,22.849,28.834
124,-1.4825,16.81,0.1246,12.485,13.598,14.994,16.81,19.293,22.943,28.987
125,-1.4807,16.8614,0.12497,12.514,13.631,15.035,16.861,19.36,23.038,29.138
126,-1.4787,16.9136,0.12534,12.542,13.666,15.076,16.914,19.429,23.134,29.29
127,-1.4763,16.9667,0.12571,12.572,13.7,15.119,16.967,19.498,23.231,29.441
128,-1.4737,17.0208,0.12607,12.602,13.736,15.162,17.021,19.568,23.328,29.591
129,-1.4708,17.0757,0.12643,12.632,13.772,15.206,17.076,19.639,23.426,29.742
130,-1.4677,17.1316,0.12678,12.663,13.81,15.251,17.132,19.712,23.525,29.891
131,-1.4642,17.1883,0.12713,12.695,13.847,15.297,17.188,19.785,23.624,30.039
132,-1.4606,17.2459,0.12748,12.727,13.885,15.343,17.246,19.859,23.725,30.189
133,-1.4567,17.3044,0.12782,12.76,13.925,15.39,17.304,19.933,23.825,30.336
134,-1.4526,17.3637,0.12816,12.793,13.964,15.438,17.364,20.009,23.927,30.484
135,-1.4482,17.4238,0.12849,12.827,14.004,15.487,17.424,20.086,24.029,30.63
136,-1.4436,17.4847,0.12882,12.861,14.045,15.536,17.485,20.163,24.131,30.776
137,-1.4389,17.5464,0.12914,12.896,14.087,15.586,17.546,20.241,24.234,30.92
138,-1.4339,17.6088,0.12946,12.931,14.129,15.637,17.609,20.32,24.338,31.064
